"","id_colaborador","nome","sexo_biologico","idade","cargo","nota_desempenho","remuneracao","horas_treinamento"
"1","DIR000001","Théo Sales","Masculino",45,"Diretor(a)","Bom",29950.79,17
"2","DIR000002","Isis Pinto","Feminino",45,"Diretor(a)","Bom",27261.07,22
"3","DIR000003","Isabelly Garcia","Feminino",45,"Diretor(a)","Bom",25635.61,29
"4","DIR000004","Nina Pereira","Feminino",45,"Diretor(a)","Excelente",27678.6,18
"5","DIR000005","Otávio Azevedo","Masculino",46,"Diretor(a)","Excelente",32084.55,25
"6","GER000006","João Pedro da Mata","Masculino",42,"Gerente","Excelente",21656.81,17
"7","GER000007","Lucas Gabriel Casa Grande","Masculino",43,"Gerente","Bom",20017.92,20
"8","GER000008","Laura Barbosa","Feminino",35,"Gerente","Bom",18539.31,17
"9","GER000009","Maysa Alves","Feminino",35,"Gerente","Bom",19620.42,16
"10","GER000010","Agatha Gomes","Feminino",43,"Gerente","Bom",18821,28
"11","GER000011","Benicio Sousa","Masculino",35,"Gerente","Excelente",24275.9,17
"12","GER000012","Natália Costa","Feminino",35,"Gerente","Excelente",19355.62,25
"13","GER000013","Ana Sophia Rezende","Feminino",35,"Gerente","Bom",20112.06,23
"14","GER000014","Guilherme das Neves","Masculino",52,"Gerente","Excelente",21431.28,26
"15","GER000015","Luiz Miguel Dias","Masculino",47,"Gerente","Excelente",20909.93,21
"16","GER000016","Marcos Vinicius Campos","Masculino",35,"Gerente","Excelente",20307.46,24
"17","GER000017","Raul Montenegro","Masculino",35,"Gerente","Excelente",22309.59,17
"18","GER000018","Heitor Campos","Masculino",43,"Gerente","Bom",19823.03,20
"19","GER000019","Thomas Gonçalves","Masculino",36,"Gerente","Excelente",21737.33,18
"20","GER000020","Noah Sousa","Masculino",35,"Gerente","Excelente",20439.73,19
"21","COO000021","Gabriela Vasconcelos","Feminino",40,"Coordenador(a)","Regular",15657.07,19
"22","COO000022","Emanuel Pereira","Masculino",39,"Coordenador(a)","Regular",14867.74,18
"23","COO000023","Pedro Garcia","Masculino",38,"Coordenador(a)","Bom",14740.45,19
"24","COO000024","Theodoro Campos","Masculino",45,"Coordenador(a)","Regular",15275.54,22
"25","COO000025","Isaac Sousa","Masculino",33,"Coordenador(a)","Excelente",16872.47,16
"26","COO000026","Luana Lima","Feminino",46,"Coordenador(a)","Bom",14424.4,19
"27","COO000027","Cauã da Rocha","Masculino",30,"Coordenador(a)","Excelente",19021.32,8
"28","COO000028","Mathias Freitas","Masculino",44,"Coordenador(a)","Regular",16053.86,20
"29","COO000029","Joana Gonçalves","Feminino",44,"Coordenador(a)","Bom",12663.54,28
"30","COO000030","Luiz Otávio Barbosa","Masculino",30,"Coordenador(a)","Regular",13742.23,25
"31","COO000031","Agatha Almeida","Feminino",30,"Coordenador(a)","Regular",15355.86,22
"32","COO000032","Diogo Novais","Masculino",48,"Coordenador(a)","Excelente",18694.95,17
"33","COO000033","Diogo Rezende","Masculino",49,"Coordenador(a)","Excelente",19205.64,25
"34","COO000034","Emanuelly Fogaça","Feminino",30,"Coordenador(a)","Excelente",15430.48,21
"35","COO000035","Evelyn da Mata","Feminino",30,"Coordenador(a)","Bom",15298.4,5
"36","COO000036","Nina Alves","Feminino",40,"Coordenador(a)","Excelente",17760.83,28
"37","COO000037","Yuri das Neves","Masculino",49,"Coordenador(a)","Regular",14085.38,23
"38","COO000038","Matteo Santos","Masculino",30,"Coordenador(a)","Bom",17054.66,27
"39","COO000039","Isabelly Novais","Feminino",30,"Coordenador(a)","Excelente",14785.15,22
"40","COO000040","Davi Lucas Oliveira","Masculino",39,"Coordenador(a)","Excelente",17356.18,20
